MONITOR_IOCTL_ENABLE_MONITOR 00120004
MONITOR_IOCTL_DISABLE_MONITOR 00120008
IOCTL_INTERNAL_KEYBOARD_CONNECT 000B0203
IOCTL_INTERNAL_KEYBOARD_DISCONNECT 000B0403
IOCTL_INTERNAL_KEYBOARD_ENABLE 000B0803
IOCTL_INTERNAL_KEYBOARD_DISABLE 000B1003
IOCTL_INTERNAL_MOUSE_CONNECT 000F0203
IOCTL_INTERNAL_MOUSE_DISCONNECT 000F0403
IOCTL_INTERNAL_MOUSE_ENABLE 000F0803
IOCTL_INTERNAL_MOUSE_DISABLE 000F1003
IOCTL_DO_KERNELMODE_SAMPLES 00222000
IOCTL_REGISTER_CALLBACK 00222004
IOCTL_UNREGISTER_CALLBACK 00222008
IOCTL_GET_CALLBACK_VERSION 0022200C
IOCTL_GET_VERSION 00222000
IOCTL_RESET 00222007
IOCTL_READWRITE_MAILBOX 00222008
IOCTL_MAILBOX_WAIT 0022200C
IOCTL_READ_DMA 00226012
IOCTL_WRITE_DMA 0022A015
IOCTL_ACPI_ASYNC_EVAL_METHOD 0032C000
IOCTL_ACPI_EVAL_METHOD 0032C004
IOCTL_ACPI_ACQUIRE_GLOBAL_LOCK 0032C010
IOCTL_ACPI_RELEASE_GLOBAL_LOCK 0032C014
IOCTL_ACPI_EVAL_METHOD_EX 0032C018
IOCTL_ACPI_ASYNC_EVAL_METHOD_EX 0032C01C
IOCTL_ACPI_ENUM_CHILDREN 0032C020
IOCTL_AVC_UPDATE_VIRTUAL_SUBUNIT_INFO 002A0000
IOCTL_AVC_REMOVE_VIRTUAL_SUBUNIT_INFO 002A0004
IOCTL_AVC_BUS_RESET 002A0008
IOCTL_DOT4_CREATE_SOCKET 003A2022
IOCTL_DOT4_DESTROY_SOCKET 003A202A
IOCTL_DOT4_WAIT_FOR_CHANNEL 003A2026
IOCTL_DOT4_OPEN_CHANNEL 003A2006
IOCTL_DOT4_CLOSE_CHANNEL 003A2008
IOCTL_DOT4_READ 003A200E
IOCTL_DOT4_WRITE 003A2011
IOCTL_DOT4_ADD_ACTIVITY_BROADCAST 003A2014
IOCTL_DOT4_REMOVE_ACTIVITY_BROADCAST 003A2018
IOCTL_DOT4_WAIT_ACTIVITY_BROADCAST 003A201E
IOCTL_MPDSM_REGISTER 736DC004
IOCTL_MPDSM_DEREGISTER 736DC008
IOCTL_MOUNTDEV_QUERY_UNIQUE_ID 004D0000
IOCTL_MOUNTDEV_QUERY_SUGGESTED_LINK_NAME 004D000C
IOCTL_MOUNTDEV_LINK_CREATED 004DC010
IOCTL_MOUNTDEV_LINK_DELETED 004DC014
IOCTL_MOUNTDEV_QUERY_STABLE_GUID 004D0018
IOCTL_MOUNTMGR_CREATE_POINT 006DC000
IOCTL_MOUNTMGR_DELETE_POINTS 006DC004
IOCTL_MOUNTMGR_QUERY_POINTS 006D0008
IOCTL_MOUNTMGR_DELETE_POINTS_DBONLY 006DC00C
IOCTL_MOUNTMGR_NEXT_DRIVE_LETTER 006DC010
IOCTL_MOUNTMGR_AUTO_DL_ASSIGNMENTS 006DC014
IOCTL_MOUNTMGR_VOLUME_MOUNT_POINT_CREATED 006DC018
IOCTL_MOUNTMGR_VOLUME_MOUNT_POINT_DELETED 006DC01C
IOCTL_MOUNTMGR_CHANGE_NOTIFY 006D4020
IOCTL_MOUNTMGR_KEEP_LINKS_WHEN_OFFLINE 006DC024
IOCTL_MOUNTMGR_CHECK_UNPROCESSED_VOLUMES 006D4028
IOCTL_MOUNTMGR_VOLUME_ARRIVAL_NOTIFICATION 006D402C
IOCTL_MOUNTDEV_QUERY_DEVICE_NAME 004D0008
